Year,MNO,RFNSA ID,Latitude,Longitude,NBIoT700,LTE700,LTE900,LTE1800,LTE2100,LTE2600,NR700,NR900,NR2100,NR3600
2025,Optus-TPG MOCN,2462003,-29.774812,153.292702,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2462013,-29.74686,153.10342,Y,Y,Y,Y,Y,,Y,Y,Y,
2025,Optus-TPG MOCN,2463001,-29.34836102,153.210704,Y,Y,,Y,,,,,,
2025,Optus-TPG MOCN,2463002,-29.490719,153.172537,Y,Y,Y,Y,Y,Y,,,,
2025,Optus-TPG MOCN,2463003,-29.45706,153.21395,Y,Y,,Y,Y,,,,,
2025,Optus-TPG MOCN,2463008,-29.607841,153.331955,Y,Y,Y,Y,Y,,Y,Y,Y,
2025,Optus-TPG MOCN,2464001,-29.433312,153.362354,Y,Y,Y,Y,Y,Y,,,,
2025,Optus-TPG MOCN,2464002,-29.42706,153.32752,Y,Y,Y,Y,Y,,Y,,,
2025,Optus-TPG MOCN,2466003,-29.406717,153.3546,Y,Y,Y,Y,Y,,,,,
2025,Optus-TPG MOCN,2469004,-29.35512,153.079375,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2472001,-29.012157,153.441657,Y,Y,,,,Y,,,,
2025,Optus-TPG MOCN,2472002,-29.11052,153.258036,Y,Y,,Y,,,,,,
2025,Optus-TPG MOCN,2472006,-29.059803,153.38424,Y,Y,,Y,,,,,,
2025,Optus-TPG MOCN,2472010,-29.07638,153.34473,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2473002,-29.118993,153.439377,Y,Y,Y,,Y,Y,,,,
2025,Optus-TPG MOCN,2473003,-29.08251,153.37737,Y,Y,Y,,,,Y,Y,,
2025,Optus-TPG MOCN,2473004,-29.104168,153.42422,Y,Y,Y,,Y,Y,,,,
2025,Optus-TPG MOCN,2474001,-28.571067,153.071003,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2474002,-28.618358,152.97932,Y,Y,,Y,,Y,,,,
2025,Optus-TPG MOCN,2477005,-28.933674,153.422552,Y,Y,Y,Y,,,,,,
2025,Optus-TPG MOCN,2478014,-28.899914,153.501804,Y,Y,Y,,,,,,,
2025,Optus-TPG MOCN,2480003,-28.54556162,153.2879161,Y,Y,,Y,,Y,,,,
